name,dataset,model,k,percent,n_check,T_stop,ari
k,mice,0,5,0.1,3,3,0.25383176780069683
k,mice,0,15,0.1,3,3,0.303658307180999
k,mice,0,25,0.1,3,3,0.2585402415020892
k,mice,0,35,0.1,3,3,0.2558845202451503
k,mice,0,45,0.1,3,3,0.24884970834149764
percent,mice,0,25,0.05,3,3,0.20219717458078915
percent,mice,0,25,0.075,3,3,0.2364172986918934
percent,mice,0,25,0.1,3,3,0.2585402415020892
percent,mice,0,25,0.125,3,3,0.27378112382174796
percent,mice,0,25,0.15,3,3,0.27234715559202216
percent,mice,0,25,0.175,3,3,0.2670620500843639
percent,mice,0,25,0.2,3,3,0.253199712877893
percent,mice,0,25,0.225,3,3,0.262023900524836
percent,mice,0,25,0.25,3,3,0.2636731390922371
n_check,mice,0,25,0.1,2,3,0.27336542114711726
n_check,mice,0,25,0.1,3,3,0.2585402415020892
n_check,mice,0,25,0.1,4,3,0.2607676798337156
n_check,mice,0,25,0.1,5,3,0.2583421151434728
n_check,mice,0,25,0.1,6,3,0.26456059538227467
n_check,mice,0,25,0.1,7,3,0.2640909048360771
T_stop,mice,0,25,0.1,3,3,0.2585402415020892
T_stop,mice,0,25,0.1,3,5,0.26057643663437224
T_stop,mice,0,25,0.1,3,7,0.25798443390952397
T_stop,mice,0,25,0.1,3,9,0.2597743929077083
T_stop,mice,0,25,0.1,3,11,0.2581779763394468
T_stop,mice,0,25,0.1,3,13,0.25734386312009044
k,optdigits,0,5,0.1,3,3,0.8468346759452783
k,optdigits,0,15,0.1,3,3,0.8493126309711442
k,optdigits,0,25,0.1,3,3,0.8547022724029172
k,optdigits,0,35,0.1,3,3,0.8619414226059343
k,optdigits,0,45,0.1,3,3,0.8612584877892739
percent,optdigits,0,25,0.05,3,3,0.8484139175975074
percent,optdigits,0,25,0.075,3,3,0.8508503273184193
percent,optdigits,0,25,0.1,3,3,0.8547022724029172
percent,optdigits,0,25,0.125,3,3,0.8626588232348082
percent,optdigits,0,25,0.15,3,3,0.8610802557922763
percent,optdigits,0,25,0.175,3,3,0.8627490255494852
percent,optdigits,0,25,0.2,3,3,0.8631269787167308
percent,optdigits,0,25,0.225,3,3,0.8619949733715977
percent,optdigits,0,25,0.25,3,3,0.8619594066255689
n_check,optdigits,0,25,0.1,2,3,0.8533429251291202
n_check,optdigits,0,25,0.1,3,3,0.8547022724029172
n_check,optdigits,0,25,0.1,4,3,0.854755856532243
n_check,optdigits,0,25,0.1,5,3,0.8565319046093657
n_check,optdigits,0,25,0.1,6,3,0.8524796244227797
n_check,optdigits,0,25,0.1,7,3,0.855331837534179
T_stop,optdigits,0,25,0.1,3,3,0.8547022724029172
T_stop,optdigits,0,25,0.1,3,5,0.854842732940802
T_stop,optdigits,0,25,0.1,3,7,0.8546581962162924
T_stop,optdigits,0,25,0.1,3,9,0.854919447238058
T_stop,optdigits,0,25,0.1,3,11,0.8554889445092041
T_stop,optdigits,0,25,0.1,3,13,0.8547525723656942
k,HAR,0,5,0.1,3,3,0.44250739367272834
